id,dti,mort_acc,il_util,total_il_high_credit_limit,bc_util,all_util,tot_coll_amt,revol_util,total_rev_hi_lim,open_act_il,bc_open_to_buy,num_actv_rev_tl,num_bc_sats,delinq_amnt,open_acc,tot_cur_bal,num_actv_bc_tl,total_bc_limit,acc_now_delinq
83,23.58,2.0,,42141.0,51.0,,0.0,44.1,6500.0,,1373.0,4.0,3.0,0.0,8.0,89387.0,2.0,2800.0,0.0
84,10.94,0.0,,12500.0,92.9,,0.0,65.6,31800.0,,1240.0,4.0,4.0,0.0,10.0,31564.0,4.0,24500.0,0.0
85,18.03,4.0,,421213.0,71.7,,0.0,63.0,83000.0,,13935.0,9.0,4.0,0.0,21.0,1175115.0,4.0,49200.0,0.0
86,28.17,6.0,,52237.0,66.3,,215.0,46.9,47000.0,,9719.0,10.0,7.0,0.0,14.0,226184.0,7.0,28800.0,0.0
87,15.94,0.0,,0.0,54.4,,0.0,37.9,21800.0,,5061.0,4.0,2.0,0.0,8.0,8270.0,2.0,11100.0,0.0
88,16.27,0.0,,0.0,94.2,,0.0,94.2,9700.0,,564.0,4.0,4.0,0.0,6.0,10090.0,4.0,9700.0,0.0
89,20.72,1.0,,34600.0,1.4,,0.0,49.7,9500.0,,4437.0,2.0,2.0,0.0,7.0,168779.0,1.0,4500.0,0.0
90,14.02,4.0,,19744.0,95.2,,0.0,78.1,28100.0,,564.0,5.0,4.0,0.0,8.0,200512.0,4.0,11700.0,0.0
91,19.69,0.0,,46727.0,9.7,,0.0,8.7,34800.0,,28189.0,2.0,7.0,0.0,14.0,22027.0,2.0,31200.0,0.0
92,7.42,0.0,,60648.0,0.8,,0.0,0.5,14500.0,,8827.0,1.0,4.0,0.0,8.0,60388.0,1.0,8900.0,0.0
93,24.9,4.0,,48119.0,33.1,,375.0,26.3,29600.0,,15712.0,6.0,6.0,0.0,15.0,56071.0,5.0,23500.0,0.0
94,22.42,5.0,,34573.0,48.7,,0.0,35.4,18200.0,,3895.0,8.0,3.0,0.0,11.0,81180.0,3.0,7600.0,0.0
95,8.05,0.0,,16276.0,51.6,,0.0,47.4,14800.0,,6586.0,4.0,4.0,0.0,7.0,11528.0,4.0,13600.0,0.0
96,35.64,0.0,,25622.0,65.0,,110.0,47.3,24000.0,,5290.0,7.0,5.0,0.0,11.0,26790.0,5.0,15100.0,0.0
97,21.64,4.0,,52943.0,100.1,,0.0,100.1,46600.0,,0.0,7.0,7.0,0.0,10.0,370654.0,7.0,46600.0,0.0
98,25.61,2.0,,70035.0,76.7,,0.0,75.0,93700.0,,21286.0,7.0,7.0,0.0,13.0,341907.0,6.0,91400.0,0.0
99,21.2,3.0,,21388.0,88.2,,0.0,53.6,6500.0,,294.0,3.0,2.0,0.0,7.0,125012.0,2.0,2500.0,0.0
100,28.06,0.0,,38352.0,89.8,,0.0,54.4,5600.0,,184.0,2.0,1.0,0.0,9.0,37145.0,1.0,1800.0,0.0
101,20.39,1.0,,56569.0,98.1,,0.0,52.5,11900.0,,100.0,4.0,2.0,0.0,10.0,93645.0,2.0,5300.0,0.0
102,15.78,1.0,,81176.0,30.2,,0.0,47.9,88200.0,,39911.0,3.0,5.0,0.0,12.0,120895.0,2.0,57200.0,0.0
103,2.76,4.0,,0.0,30.3,,0.0,26.7,29500.0,,15411.0,6.0,4.0,0.0,9.0,7562.0,4.0,22100.0,0.0
104,22.07,6.0,,28192.0,66.5,,0.0,59.9,67800.0,,11682.0,9.0,5.0,0.0,15.0,456332.0,4.0,34900.0,1.0
105,28.81,2.0,,34354.0,83.6,,0.0,90.8,33300.0,,888.0,4.0,1.0,0.0,12.0,218152.0,1.0,5400.0,0.0
106,22.32,3.0,,101177.0,59.5,,0.0,53.8,20000.0,,6596.0,6.0,4.0,0.0,17.0,318905.0,4.0,16300.0,0.0
107,21.12,2.0,,48082.0,43.1,,0.0,33.7,76500.0,,30112.0,17.0,13.0,0.0,31.0,184802.0,10.0,52900.0,0.0
108,16.29,4.0,,47249.0,24.1,,1218.0,39.5,13000.0,,3187.0,8.0,5.0,0.0,17.0,131636.0,5.0,4200.0,0.0
109,14.13,3.0,,31361.0,89.4,,0.0,81.3,30900.0,,2737.0,5.0,4.0,0.0,10.0,443857.0,3.0,25700.0,0.0
110,34.5,6.0,,60816.0,93.0,,0.0,87.7,18300.0,,672.0,4.0,4.0,0.0,13.0,193159.0,2.0,9600.0,0.0
111,15.45,0.0,,20436.0,78.4,,0.0,56.1,13300.0,,2007.0,5.0,4.0,0.0,12.0,23411.0,4.0,9300.0,0.0
112,26.75,0.0,,20759.0,53.6,,0.0,43.3,17200.0,,6451.0,2.0,4.0,0.0,8.0,23018.0,2.0,13900.0,0.0
113,7.47,1.0,,15240.0,96.7,,0.0,58.0,5000.0,,100.0,2.0,2.0,0.0,5.0,166080.0,2.0,3000.0,0.0
114,28.31,1.0,,61859.0,89.7,,0.0,89.8,25900.0,,1243.0,3.0,3.0,0.0,10.0,253384.0,2.0,12100.0,0.0
115,32.67,10.0,,84377.0,80.8,,0.0,51.8,25900.0,,2021.0,7.0,4.0,0.0,32.0,235082.0,4.0,10500.0,0.0
116,24.4,0.0,,58852.0,98.2,,79.0,26.4,23600.0,,64.0,6.0,3.0,0.0,13.0,54923.0,2.0,3500.0,0.0
117,20.07,1.0,,5000.0,14.4,,0.0,14.8,10100.0,,4794.0,5.0,4.0,0.0,9.0,5805.0,3.0,5600.0,0.0
118,11.39,0.0,,18049.0,42.4,,237.0,22.1,15500.0,,3401.0,5.0,4.0,0.0,10.0,18590.0,4.0,5900.0,0.0
119,29.47,3.0,,63758.0,80.8,,0.0,79.5,68800.0,,6672.0,9.0,5.0,0.0,17.0,503157.0,5.0,34800.0,0.0
120,14.07,1.0,,52750.0,10.3,,0.0,5.2,23000.0,,10497.0,2.0,4.0,0.0,13.0,230664.0,2.0,11700.0,0.0
121,19.94,0.0,,0.0,59.0,,0.0,64.9,15500.0,,5330.0,5.0,4.0,0.0,5.0,10064.0,4.0,13000.0,0.0
122,18.21,2.0,,128319.0,20.4,,0.0,20.7,112100.0,,77254.0,8.0,14.0,0.0,28.0,296020.0,7.0,97000.0,0.0
123,18.54,1.0,,36578.0,102.6,,0.0,99.6,5800.0,,0.0,2.0,1.0,0.0,8.0,53683.0,1.0,3300.0,0.0
124,15.97,0.0,,40930.0,57.2,,0.0,57.2,13000.0,,5559.0,2.0,3.0,0.0,7.0,24069.0,2.0,13000.0,0.0
125,27.29,0.0,,80275.0,84.2,,0.0,93.7,26700.0,,3489.0,5.0,5.0,0.0,14.0,97659.0,3.0,22100.0,0.0
126,20.48,0.0,,46700.0,39.6,,0.0,29.2,23200.0,,9607.0,4.0,4.0,0.0,9.0,45468.0,3.0,15900.0,0.0
127,14.79,8.0,,0.0,68.6,,0.0,73.6,50900.0,,10334.0,4.0,3.0,0.0,7.0,676868.0,3.0,32900.0,0.0
128,11.81,4.0,,0.0,83.1,,83.0,71.9,36900.0,,2879.0,11.0,6.0,0.0,14.0,198010.0,6.0,17000.0,0.0
129,15.62,0.0,,69780.0,93.3,,0.0,77.1,7300.0,,127.0,5.0,2.0,0.0,22.0,75200.0,2.0,1900.0,0.0
130,21.96,0.0,,134082.0,11.0,,510.0,12.5,32100.0,,25455.0,11.0,10.0,0.0,27.0,138894.0,7.0,28600.0,0.0
131,5.55,8.0,,11652.0,23.3,,0.0,13.5,100300.0,,26323.0,3.0,2.0,0.0,6.0,632474.0,2.0,34300.0,0.0
132,25.12,3.0,,132558.0,,,0.0,20.3,7900.0,,,2.0,0.0,0.0,10.0,132443.0,0.0,0.0,0.0
133,10.61,0.0,,58381.0,,,0.0,100.0,1000.0,,,1.0,0.0,0.0,16.0,60646.0,0.0,0.0,0.0
134,23.0,0.0,,28304.0,39.8,,0.0,40.4,46800.0,,25585.0,10.0,6.0,0.0,15.0,44514.0,6.0,42500.0,0.0
135,6.94,6.0,,0.0,94.9,,0.0,66.9,30000.0,,1029.0,3.0,2.0,0.0,4.0,203275.0,2.0,20200.0,0.0
136,10.54,1.0,,17165.0,47.6,,0.0,56.8,47200.0,,16289.0,9.0,11.0,0.0,17.0,297039.0,7.0,31100.0,0.0
137,13.43,4.0,,12221.0,99.2,,0.0,98.4,48400.0,,337.0,9.0,7.0,0.0,12.0,597253.0,6.0,40600.0,0.0
138,25.25,0.0,,71017.0,64.9,,103.0,64.9,6400.0,,2248.0,5.0,5.0,0.0,7.0,61789.0,5.0,6400.0,0.0
139,27.34,3.0,,51822.0,101.7,,0.0,82.6,24500.0,,0.0,3.0,1.0,0.0,9.0,46804.0,1.0,7500.0,0.0
140,33.57,1.0,,70017.0,84.6,,0.0,80.0,21000.0,,2065.0,10.0,8.0,0.0,15.0,202128.0,7.0,13400.0,0.0
141,16.47,0.0,,22912.0,79.8,,0.0,74.1,9700.0,,1814.0,5.0,5.0,0.0,9.0,21850.0,5.0,9000.0,0.0
142,12.02,1.0,,15759.0,98.9,,0.0,84.4,3400.0,,32.0,1.0,1.0,0.0,4.0,93933.0,1.0,2900.0,0.0
143,10.0,2.0,,0.0,41.6,,652.0,32.1,22600.0,,8299.0,8.0,5.0,0.0,9.0,62585.0,5.0,14200.0,0.0
144,20.44,0.0,,51742.0,82.7,,0.0,77.8,5500.0,,829.0,5.0,3.0,0.0,14.0,47072.0,3.0,4800.0,0.0
145,16.56,0.0,,15350.0,68.8,,0.0,51.0,21000.0,,4771.0,7.0,8.0,0.0,13.0,22669.0,6.0,15300.0,0.0
146,17.82,1.0,,46623.0,60.4,,0.0,56.5,10900.0,,3370.0,5.0,4.0,0.0,9.0,44758.0,4.0,8500.0,0.0
147,32.09,0.0,,80032.0,97.2,,0.0,79.6,30400.0,,468.0,9.0,5.0,0.0,14.0,99584.0,5.0,17000.0,0.0
148,32.68,2.0,,77397.0,23.9,,0.0,35.1,51200.0,,14683.0,10.0,10.0,0.0,27.0,85673.0,4.0,19300.0,0.0
149,23.13,4.0,,52012.0,68.8,,0.0,60.2,109900.0,,21635.0,15.0,9.0,0.0,22.0,299830.0,9.0,69400.0,0.0
150,7.21,2.0,,0.0,98.9,,0.0,87.0,120900.0,,181.0,5.0,3.0,0.0,5.0,69609.0,3.0,17000.0,0.0
151,26.58,0.0,,42811.0,78.6,,0.0,53.1,13900.0,,2015.0,1.0,2.0,0.0,11.0,37984.0,1.0,9400.0,0.0
152,9.58,3.0,,44898.0,69.4,,0.0,46.3,9900.0,,2019.0,2.0,4.0,0.0,10.0,225253.0,2.0,6600.0,0.0
153,13.66,0.0,,24645.0,101.6,,0.0,80.8,13000.0,,0.0,2.0,2.0,0.0,6.0,32358.0,1.0,5000.0,0.0
154,7.04,0.0,,16806.0,44.9,,0.0,41.5,16000.0,,8156.0,5.0,5.0,0.0,7.0,22960.0,5.0,14800.0,0.0
155,22.39,0.0,,78778.0,90.7,,0.0,79.7,7400.0,,603.0,3.0,3.0,0.0,6.0,72001.0,3.0,6500.0,0.0
156,15.28,0.0,,10000.0,44.0,,0.0,41.3,11000.0,,4760.0,2.0,2.0,0.0,6.0,13182.0,1.0,8500.0,0.0
157,14.29,4.0,,44552.0,13.6,,0.0,18.2,43295.0,,29468.0,3.0,6.0,0.0,11.0,194677.0,2.0,34100.0,0.0
158,27.23,0.0,,26111.0,50.7,,0.0,54.5,19300.0,,8188.0,7.0,6.0,0.0,12.0,28057.0,4.0,16600.0,0.0
159,26.81,2.0,,35820.0,75.1,,0.0,73.9,15000.0,,3217.0,6.0,3.0,0.0,14.0,40195.0,3.0,12900.0,0.0
160,10.42,0.0,,14777.0,89.1,,0.0,77.6,20200.0,,1520.0,8.0,6.0,0.0,11.0,22876.0,6.0,14000.0,0.0
161,29.07,0.0,,40683.0,83.2,,0.0,70.9,13900.0,,859.0,4.0,2.0,0.0,9.0,34340.0,2.0,5100.0,0.0
162,9.26,1.0,,0.0,97.2,,0.0,97.2,32000.0,,881.0,2.0,2.0,0.0,5.0,567057.0,2.0,32000.0,0.0
163,14.39,1.0,,43321.0,79.2,,0.0,41.9,26400.0,,2164.0,4.0,2.0,0.0,10.0,222058.0,1.0,10400.0,0.0
164,14.4,0.0,,40030.0,23.8,,170.0,23.0,29300.0,,21556.0,2.0,4.0,0.0,10.0,45162.0,2.0,28300.0,0.0
165,11.89,6.0,,127738.0,82.2,,25.0,72.3,12100.0,,1351.0,3.0,2.0,0.0,10.0,546187.0,2.0,7600.0,0.0
166,24.22,0.0,,8712.0,33.6,,0.0,47.4,23300.0,,10288.0,4.0,3.0,0.0,6.0,19394.0,3.0,15500.0,0.0
167,15.05,1.0,,9625.0,96.3,,0.0,79.4,20400.0,,243.0,7.0,2.0,0.0,10.0,128195.0,2.0,6500.0,0.0
168,19.94,4.0,,91059.0,73.5,,0.0,46.7,69700.0,,7745.0,6.0,2.0,0.0,9.0,443600.0,2.0,29200.0,0.0
169,5.07,0.0,,40328.0,58.3,,0.0,35.2,21900.0,,4253.0,3.0,2.0,0.0,8.0,47389.0,2.0,10200.0,0.0
170,26.66,0.0,,5348.0,95.1,,0.0,65.7,11400.0,,228.0,5.0,3.0,0.0,9.0,10805.0,2.0,4700.0,0.0
171,5.81,0.0,,0.0,78.9,,0.0,70.4,15000.0,,2745.0,4.0,3.0,0.0,4.0,10553.0,3.0,13000.0,0.0
172,11.51,6.0,,41275.0,90.5,,0.0,82.4,60800.0,,5200.0,7.0,5.0,0.0,14.0,669904.0,5.0,54500.0,0.0
173,34.01,5.0,,61502.0,43.0,,0.0,31.2,46700.0,,16658.0,6.0,5.0,0.0,16.0,194846.0,4.0,29200.0,0.0
174,6.52,2.0,,0.0,98.6,,0.0,92.2,38400.0,,495.0,4.0,4.0,0.0,7.0,670509.0,4.0,35900.0,0.0
175,9.68,1.0,,49713.0,48.8,,0.0,47.3,18900.0,,6910.0,5.0,6.0,0.0,22.0,211038.0,4.0,13500.0,0.0
176,16.33,6.0,,22594.0,62.2,,0.0,57.6,59554.0,,20824.0,6.0,6.0,0.0,12.0,174442.0,6.0,55100.0,0.0
177,12.97,0.0,,0.0,77.0,,2867.0,42.4,17400.0,,553.0,3.0,2.0,0.0,6.0,6989.0,1.0,2400.0,0.0
178,9.84,2.0,,19187.0,11.2,,0.0,11.2,45500.0,,40391.0,2.0,9.0,0.0,11.0,121090.0,2.0,45500.0,0.0
179,16.33,1.0,,30824.0,47.7,,0.0,52.5,25700.0,,8427.0,5.0,3.0,0.0,8.0,176318.0,3.0,16100.0,0.0
180,35.86,6.0,,51909.0,76.1,,0.0,65.8,88000.0,,5985.0,13.0,7.0,0.0,22.0,339289.0,6.0,25000.0,0.0
181,22.18,8.0,,16273.0,93.7,,370.0,93.1,30400.0,,867.0,7.0,3.0,0.0,11.0,201897.0,3.0,13700.0,0.0
182,31.85,0.0,,127696.0,101.4,,0.0,71.8,25400.0,,0.0,6.0,2.0,0.0,32.0,138423.0,2.0,8600.0,0.0
183,33.57,4.0,,64733.0,53.5,,0.0,60.9,52800.0,,17687.0,7.0,4.0,0.0,13.0,330347.0,4.0,38000.0,0.0
184,20.76,1.0,,29642.0,20.8,,0.0,19.2,23000.0,,16792.0,2.0,3.0,0.0,7.0,42493.0,2.0,21200.0,0.0
185,13.12,3.0,,88526.0,42.6,,0.0,39.4,10500.0,,4474.0,5.0,4.0,0.0,26.0,157079.0,3.0,7800.0,0.0
