id,addr_state,annual_inc,home_ownership,tax_liens,int_rate,term,loan_amnt,loan_status,next_pymnt_d,zip_code,application_type,issue_d,purpose
76,VA,45800.0,RENT,0.0,10.49,36.0,6400.0,Fully Paid,,201xx,Individual,Dec-2014,credit_card
77,IL,43000.0,RENT,0.0,15.99,36.0,18000.0,Fully Paid,,620xx,Individual,Dec-2014,debt_consolidation
78,TX,155000.0,RENT,0.0,9.49,36.0,24000.0,Fully Paid,,774xx,Individual,Dec-2014,credit_card
79,AZ,75000.0,MORTGAGE,0.0,12.99,36.0,21000.0,Current,Jan-2018,863xx,Individual,Dec-2014,credit_card
80,VA,109000.0,MORTGAGE,0.0,9.49,36.0,2800.0,Fully Paid,,234xx,Individual,Dec-2014,home_improvement
81,NY,41000.0,RENT,0.0,18.54,60.0,13375.0,Current,Jan-2018,104xx,Individual,Dec-2014,credit_card
82,NH,45000.0,RENT,0.0,13.66,36.0,15000.0,Fully Paid,,032xx,Individual,Dec-2014,debt_consolidation
83,TX,48000.0,MORTGAGE,0.0,11.44,36.0,13000.0,Fully Paid,,789xx,Individual,Dec-2014,debt_consolidation
84,VA,78800.0,RENT,0.0,17.86,36.0,35000.0,Fully Paid,,223xx,Individual,Dec-2014,debt_consolidation
85,MD,385000.0,MORTGAGE,0.0,9.49,36.0,35000.0,Fully Paid,,210xx,Individual,Dec-2014,credit_card
86,MI,66000.0,MORTGAGE,0.0,8.19,36.0,15000.0,Fully Paid,,481xx,Individual,Dec-2014,debt_consolidation
87,TN,25000.0,RENT,0.0,14.99,36.0,7500.0,Fully Paid,,379xx,Individual,Dec-2014,debt_consolidation
88,FL,16344.0,RENT,0.0,10.49,36.0,5500.0,Charged Off,,331xx,Individual,Dec-2014,debt_consolidation
89,AL,55000.0,MORTGAGE,0.0,20.99,60.0,19200.0,Fully Paid,,356xx,Individual,Dec-2014,debt_consolidation
90,TX,74300.0,MORTGAGE,0.0,17.14,60.0,12000.0,Fully Paid,,787xx,Individual,Dec-2014,credit_card
91,CA,99789.0,RENT,0.0,17.86,36.0,28000.0,Current,Jan-2018,907xx,Individual,Dec-2014,debt_consolidation
92,FL,55000.0,OWN,0.0,19.24,60.0,24000.0,Fully Paid,,337xx,Individual,Dec-2014,home_improvement
93,MN,48000.0,MORTGAGE,0.0,15.99,60.0,15600.0,Fully Paid,,560xx,Individual,Dec-2014,debt_consolidation
94,TX,45000.0,MORTGAGE,0.0,12.39,36.0,5000.0,Fully Paid,,750xx,Individual,Dec-2014,debt_consolidation
95,MA,74500.0,RENT,0.0,17.14,60.0,22200.0,Charged Off,,015xx,Individual,Dec-2014,debt_consolidation
96,FL,29000.0,RENT,0.0,13.66,36.0,10375.0,Fully Paid,,347xx,Individual,Dec-2014,debt_consolidation
97,IL,100000.0,MORTGAGE,0.0,14.31,36.0,5000.0,Fully Paid,,601xx,Individual,Dec-2014,debt_consolidation
98,CT,108150.0,MORTGAGE,0.0,6.99,36.0,15000.0,Current,Jan-2018,064xx,Individual,Dec-2014,debt_consolidation
99,MO,33000.0,MORTGAGE,0.0,11.44,36.0,5000.0,Current,Jan-2018,637xx,Individual,Dec-2014,credit_card
100,WV,32500.0,RENT,0.0,11.99,36.0,6000.0,Current,Jan-2018,265xx,Individual,Dec-2014,debt_consolidation
101,KS,75000.0,MORTGAGE,0.0,9.49,36.0,19000.0,Current,Jan-2018,672xx,Individual,Dec-2014,credit_card
102,GA,175000.0,MORTGAGE,0.0,8.19,60.0,28000.0,Fully Paid,,303xx,Individual,Dec-2014,credit_card
103,NJ,91000.0,RENT,0.0,15.99,60.0,35000.0,Fully Paid,,080xx,Individual,Dec-2014,debt_consolidation
104,NY,109000.0,MORTGAGE,0.0,11.44,36.0,18000.0,Current,Jan-2018,117xx,Individual,Dec-2014,debt_consolidation
105,MI,26000.0,MORTGAGE,0.0,12.39,36.0,6000.0,Current,Jan-2018,481xx,Individual,Dec-2014,debt_consolidation
106,CO,80000.0,MORTGAGE,0.0,12.99,36.0,16000.0,Charged Off,,800xx,Individual,Dec-2014,debt_consolidation
107,OH,95000.0,MORTGAGE,0.0,14.99,36.0,28000.0,Fully Paid,,442xx,Individual,Dec-2014,debt_consolidation
108,SD,92000.0,MORTGAGE,0.0,13.66,36.0,5600.0,Fully Paid,,574xx,Individual,Dec-2014,debt_consolidation
109,CA,133000.0,MORTGAGE,0.0,14.31,36.0,3000.0,Fully Paid,,922xx,Individual,Dec-2014,other
110,GA,59103.0,MORTGAGE,0.0,18.54,60.0,12600.0,Fully Paid,,310xx,Individual,Dec-2014,debt_consolidation
111,CA,50000.0,RENT,0.0,12.39,36.0,8000.0,Fully Paid,,951xx,Individual,Dec-2014,debt_consolidation
112,CT,45000.0,RENT,0.0,12.39,36.0,8000.0,Current,Jan-2018,064xx,Individual,Dec-2014,credit_card
113,NM,52080.0,MORTGAGE,0.0,13.66,36.0,4800.0,Fully Paid,,871xx,Individual,Dec-2014,debt_consolidation
114,TX,65000.0,MORTGAGE,0.0,15.59,36.0,22500.0,Fully Paid,,762xx,Individual,Dec-2014,debt_consolidation
115,NM,56719.0,MORTGAGE,0.0,25.83,60.0,16950.0,Charged Off,,871xx,Individual,Dec-2014,debt_consolidation
116,TX,75000.0,MORTGAGE,0.0,18.54,36.0,16375.0,Fully Paid,,750xx,Individual,Dec-2014,debt_consolidation
117,CA,35000.0,OWN,0.0,15.99,36.0,3000.0,Fully Paid,,917xx,Individual,Dec-2014,other
118,GA,65000.0,MORTGAGE,0.0,12.39,36.0,5000.0,Charged Off,,300xx,Individual,Dec-2014,home_improvement
119,MA,140000.0,MORTGAGE,0.0,16.49,60.0,21000.0,Current,Jan-2018,015xx,Individual,Dec-2014,credit_card
120,KY,39926.0,MORTGAGE,0.0,16.49,36.0,8000.0,Fully Paid,,410xx,Individual,Dec-2014,home_improvement
121,NY,21000.0,RENT,0.0,14.31,36.0,6700.0,Fully Paid,,112xx,Individual,Dec-2014,credit_card
122,GA,140000.0,MORTGAGE,0.0,8.67,60.0,12000.0,Current,Jan-2018,300xx,Individual,Dec-2014,credit_card
123,PA,65000.0,MORTGAGE,0.0,14.99,36.0,3000.0,Fully Paid,,179xx,Individual,Dec-2014,debt_consolidation
124,NJ,80000.0,RENT,0.0,10.49,36.0,18700.0,Fully Paid,,077xx,Individual,Dec-2014,debt_consolidation
125,MA,68000.0,RENT,0.0,12.99,36.0,26000.0,Current,Jan-2018,023xx,Individual,Dec-2014,debt_consolidation
126,CO,45000.0,RENT,0.0,11.99,36.0,7000.0,Fully Paid,,802xx,Individual,Dec-2014,credit_card
127,MD,148000.0,MORTGAGE,0.0,11.44,36.0,21000.0,Fully Paid,,207xx,Individual,Dec-2014,debt_consolidation
128,FL,63000.0,MORTGAGE,0.0,18.54,60.0,15000.0,Current,Jan-2018,330xx,Individual,Dec-2014,debt_consolidation
129,MA,70000.0,RENT,0.0,17.86,36.0,6850.0,Current,Jan-2018,016xx,Individual,Dec-2014,vacation
130,TX,53000.0,RENT,0.0,8.19,36.0,1200.0,Current,Jan-2018,751xx,Individual,Dec-2014,credit_card
131,CA,113000.0,MORTGAGE,0.0,6.99,36.0,13400.0,Fully Paid,,928xx,Individual,Dec-2014,debt_consolidation
132,AZ,83000.0,MORTGAGE,0.0,11.44,36.0,1000.0,Fully Paid,,857xx,Individual,Dec-2014,medical
133,MI,70000.0,RENT,0.0,16.49,36.0,2400.0,Fully Paid,,494xx,Individual,Dec-2014,debt_consolidation
134,UT,55000.0,RENT,0.0,11.99,36.0,14575.0,Fully Paid,,840xx,Individual,Dec-2014,debt_consolidation
135,NJ,73000.0,MORTGAGE,0.0,9.49,36.0,14000.0,Fully Paid,,088xx,Individual,Dec-2014,debt_consolidation
136,CA,105000.0,MORTGAGE,0.0,12.39,36.0,16400.0,Fully Paid,,953xx,Individual,Dec-2014,other
137,CA,130000.0,MORTGAGE,0.0,10.49,36.0,8000.0,Current,Jan-2018,916xx,Individual,Dec-2014,debt_consolidation
138,OK,61972.0,MORTGAGE,4.0,25.8,60.0,27200.0,Charged Off,,730xx,Individual,Dec-2014,debt_consolidation
139,VA,70000.0,MORTGAGE,0.0,24.5,60.0,22400.0,Charged Off,,234xx,Individual,Dec-2014,debt_consolidation
140,TX,65000.0,MORTGAGE,0.0,17.86,36.0,22000.0,Current,Jan-2018,782xx,Individual,Dec-2014,debt_consolidation
141,PA,50000.0,MORTGAGE,0.0,15.59,36.0,20000.0,Charged Off,,189xx,Individual,Dec-2014,credit_card
142,SC,30371.0,MORTGAGE,0.0,12.99,36.0,2850.0,Fully Paid,,294xx,Individual,Dec-2014,debt_consolidation
143,SD,24000.0,MORTGAGE,0.0,8.19,36.0,4000.0,Fully Paid,,571xx,Individual,Dec-2014,home_improvement
144,PA,62000.0,RENT,0.0,12.39,36.0,10000.0,Fully Paid,,170xx,Individual,Dec-2014,debt_consolidation
145,FL,44200.0,RENT,0.0,15.59,36.0,15850.0,Charged Off,,328xx,Individual,Dec-2014,credit_card
146,OR,65000.0,MORTGAGE,0.0,17.86,36.0,6150.0,Fully Paid,,975xx,Individual,Dec-2014,debt_consolidation
147,AK,68000.0,RENT,0.0,17.14,60.0,25000.0,Current,Jan-2018,995xx,Individual,Dec-2014,debt_consolidation
148,VA,77000.0,RENT,0.0,14.99,60.0,10000.0,Fully Paid,,236xx,Individual,Dec-2014,debt_consolidation
149,PA,125000.0,MORTGAGE,0.0,11.44,60.0,28000.0,Fully Paid,,190xx,Individual,Dec-2014,credit_card
150,MD,100000.0,RENT,0.0,12.39,36.0,12000.0,Fully Paid,,217xx,Individual,Dec-2014,debt_consolidation
151,AZ,35000.0,RENT,0.0,9.49,36.0,17500.0,Fully Paid,,857xx,Individual,Dec-2014,debt_consolidation
152,MD,106500.0,MORTGAGE,0.0,23.99,60.0,10200.0,Charged Off,,206xx,Individual,Dec-2014,medical
153,CA,50000.0,RENT,0.0,13.66,36.0,3000.0,Fully Paid,,902xx,Individual,Dec-2014,major_purchase
154,CA,68000.0,RENT,1.0,15.99,36.0,7500.0,Fully Paid,,949xx,Individual,Dec-2014,debt_consolidation
155,AZ,50000.0,RENT,0.0,10.49,36.0,6500.0,Current,Jan-2018,850xx,Individual,Dec-2014,debt_consolidation
156,CA,37400.0,RENT,0.0,18.54,60.0,10000.0,Current,Jan-2018,945xx,Individual,Dec-2014,credit_card
157,MN,85000.0,MORTGAGE,0.0,10.49,60.0,26400.0,Charged Off,,553xx,Individual,Dec-2014,debt_consolidation
158,WA,40000.0,RENT,0.0,15.99,36.0,9000.0,Fully Paid,,981xx,Individual,Dec-2014,debt_consolidation
159,NY,70000.0,MORTGAGE,0.0,19.24,60.0,14400.0,Charged Off,,105xx,Individual,Dec-2014,debt_consolidation
160,TX,91000.0,MORTGAGE,0.0,17.14,60.0,18000.0,Charged Off,,750xx,Individual,Dec-2014,debt_consolidation
161,NM,40000.0,RENT,0.0,14.31,60.0,11200.0,Current,Jan-2018,880xx,Individual,Dec-2014,debt_consolidation
162,NY,262000.0,MORTGAGE,0.0,12.39,60.0,30000.0,Current,Jan-2018,100xx,Individual,Dec-2014,credit_card
163,TX,80000.0,MORTGAGE,0.0,6.99,36.0,15000.0,Current,Jan-2018,785xx,Individual,Dec-2014,debt_consolidation
164,TN,48500.0,OWN,0.0,11.99,36.0,5000.0,Current,Jan-2018,372xx,Individual,Dec-2014,medical
165,TX,254000.0,MORTGAGE,0.0,14.31,60.0,20000.0,Current,Jan-2018,750xx,Individual,Dec-2014,home_improvement
166,WA,27800.0,RENT,0.0,13.66,60.0,13825.0,Current,Jan-2018,981xx,Individual,Dec-2014,debt_consolidation
167,TX,70000.0,MORTGAGE,0.0,15.59,36.0,2000.0,Fully Paid,,751xx,Individual,Dec-2014,medical
168,CA,120000.0,MORTGAGE,0.0,6.03,36.0,24000.0,Fully Paid,,957xx,Individual,Dec-2014,credit_card
169,TX,44000.0,MORTGAGE,0.0,18.54,60.0,19350.0,Fully Paid,,785xx,Individual,Dec-2014,debt_consolidation
170,TX,18868.8,RENT,0.0,16.49,36.0,5000.0,Fully Paid,,781xx,Individual,Dec-2014,debt_consolidation
171,FL,46300.0,RENT,0.0,12.39,36.0,17000.0,Fully Paid,,328xx,Individual,Dec-2014,major_purchase
172,CT,205000.0,OWN,0.0,8.67,60.0,21000.0,Current,Jan-2018,064xx,Individual,Dec-2014,credit_card
173,PA,45000.0,MORTGAGE,0.0,10.49,60.0,10000.0,Fully Paid,,166xx,Individual,Dec-2014,credit_card
174,CA,150000.0,MORTGAGE,0.0,18.54,60.0,35000.0,Fully Paid,,945xx,Individual,Dec-2014,debt_consolidation
175,IL,75000.0,MORTGAGE,0.0,8.19,36.0,12000.0,Fully Paid,,604xx,Individual,Dec-2014,debt_consolidation
176,AL,72000.0,MORTGAGE,0.0,18.54,36.0,35000.0,Fully Paid,,350xx,Individual,Dec-2014,home_improvement
177,OR,68000.0,RENT,0.0,11.44,36.0,12000.0,Fully Paid,,971xx,Individual,Dec-2014,debt_consolidation
178,SC,50000.0,MORTGAGE,0.0,6.03,36.0,5000.0,Fully Paid,,290xx,Individual,Dec-2014,debt_consolidation
179,NY,58792.0,MORTGAGE,0.0,6.49,36.0,14000.0,Fully Paid,,145xx,Individual,Dec-2014,credit_card
180,VA,60000.0,MORTGAGE,0.0,17.14,60.0,11325.0,Fully Paid,,231xx,Individual,Dec-2014,debt_consolidation
181,PA,62000.0,OWN,0.0,15.59,36.0,19500.0,Charged Off,,191xx,Individual,Dec-2014,debt_consolidation
182,CT,46000.0,RENT,0.0,19.24,60.0,16475.0,Charged Off,,060xx,Individual,Dec-2014,debt_consolidation
183,GA,86500.0,MORTGAGE,0.0,11.99,60.0,28000.0,Current,Jan-2018,302xx,Individual,Dec-2014,debt_consolidation
184,PA,37000.0,MORTGAGE,0.0,12.99,60.0,18500.0,Current,Jan-2018,193xx,Individual,Dec-2014,credit_card
185,AZ,60000.0,MORTGAGE,0.0,19.24,36.0,19150.0,Fully Paid,,850xx,Individual,Dec-2014,other
186,OH,70000.0,OWN,0.0,10.49,60.0,21000.0,Current,Jan-2018,447xx,Individual,Dec-2014,debt_consolidation
187,CA,125000.0,RENT,0.0,23.99,36.0,33950.0,Charged Off,,902xx,Individual,Dec-2014,small_business
188,CA,120000.0,RENT,0.0,14.99,36.0,11775.0,Current,Jan-2018,953xx,Individual,Dec-2014,debt_consolidation
189,NY,35000.0,RENT,0.0,9.49,36.0,10000.0,Fully Paid,,114xx,Individual,Dec-2014,debt_consolidation
190,NY,23000.0,RENT,0.0,15.59,36.0,8250.0,Charged Off,,109xx,Individual,Dec-2014,debt_consolidation
191,AZ,34000.0,RENT,0.0,8.67,36.0,4200.0,Fully Paid,,850xx,Individual,Dec-2014,other
192,FL,33000.0,MORTGAGE,0.0,14.99,60.0,13825.0,Charged Off,,322xx,Individual,Dec-2014,debt_consolidation
193,TX,55000.0,RENT,0.0,17.14,60.0,16000.0,Current,Jan-2018,750xx,Individual,Dec-2014,medical
194,TX,90000.0,OWN,0.0,10.49,36.0,20000.0,Current,Jan-2018,770xx,Individual,Dec-2014,other
195,OR,56000.0,MORTGAGE,0.0,15.99,36.0,23475.0,Fully Paid,,972xx,Individual,Dec-2014,debt_consolidation
196,TX,70000.0,MORTGAGE,0.0,11.99,36.0,10000.0,Fully Paid,,782xx,Individual,Dec-2014,debt_consolidation
197,CA,32000.0,RENT,0.0,14.31,36.0,2000.0,Fully Paid,,939xx,Individual,Dec-2014,medical
198,VA,115000.0,MORTGAGE,0.0,14.99,36.0,28000.0,Fully Paid,,223xx,Individual,Dec-2014,credit_card
199,TX,24000.0,RENT,0.0,15.59,36.0,3375.0,Charged Off,,783xx,Individual,Dec-2014,debt_consolidation
200,TX,34652.0,MORTGAGE,0.0,11.99,36.0,5000.0,Fully Paid,,761xx,Individual,Dec-2014,home_improvement
201,CO,65550.0,RENT,0.0,10.49,36.0,8000.0,Current,Jan-2018,803xx,Individual,Dec-2014,credit_card
202,IN,50000.0,MORTGAGE,0.0,19.24,60.0,10000.0,Charged Off,,462xx,Individual,Dec-2014,debt_consolidation
203,NY,43000.0,OWN,0.0,12.39,36.0,5000.0,Fully Paid,,100xx,Individual,Dec-2014,home_improvement
204,NM,102000.0,MORTGAGE,1.0,25.89,60.0,35000.0,Charged Off,,871xx,Individual,Dec-2014,debt_consolidation
205,CA,40000.0,OWN,0.0,9.49,36.0,11850.0,Charged Off,,908xx,Individual,Dec-2014,debt_consolidation
206,MN,63984.0,MORTGAGE,0.0,18.54,36.0,3525.0,Fully Paid,,563xx,Individual,Dec-2014,debt_consolidation
207,AR,61000.0,RENT,0.0,12.99,36.0,12000.0,Current,Jan-2018,721xx,Individual,Dec-2014,debt_consolidation
208,CA,92500.0,RENT,0.0,13.66,36.0,8500.0,Current,Jan-2018,927xx,Individual,Dec-2014,medical
209,TN,40000.0,RENT,0.0,11.44,36.0,8325.0,Fully Paid,,370xx,Individual,Dec-2014,debt_consolidation
210,NJ,140000.0,MORTGAGE,0.0,8.67,36.0,9500.0,Current,Jan-2018,070xx,Individual,Dec-2014,debt_consolidation
211,CA,83000.0,RENT,0.0,9.49,36.0,6000.0,Current,Jan-2018,920xx,Individual,Dec-2014,credit_card
212,TX,160000.0,RENT,0.0,12.39,36.0,35000.0,Fully Paid,,770xx,Individual,Dec-2014,debt_consolidation
213,KY,60000.0,MORTGAGE,0.0,18.54,60.0,20000.0,Current,Jan-2018,402xx,Individual,Dec-2014,debt_consolidation
214,CA,125000.0,MORTGAGE,0.0,13.66,36.0,21000.0,Current,Jan-2018,920xx,Individual,Dec-2014,debt_consolidation
215,OK,58000.0,MORTGAGE,0.0,13.66,36.0,9000.0,Fully Paid,,735xx,Individual,Dec-2014,debt_consolidation
216,CA,75000.0,OWN,0.0,6.99,36.0,7000.0,Fully Paid,,902xx,Individual,Dec-2014,home_improvement
217,OK,80000.0,RENT,0.0,14.31,36.0,24000.0,Charged Off,,730xx,Individual,Dec-2014,debt_consolidation
218,AZ,75000.0,MORTGAGE,0.0,6.99,36.0,15000.0,Fully Paid,,853xx,Individual,Dec-2014,debt_consolidation
